year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes
2020,IDAHO,ID,ONEIDA,16071,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2148,2451
2020,IDAHO,ID,OWYHEE,16073,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,816,4742
2020,IDAHO,ID,OWYHEE,16073,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,57,4742
2020,IDAHO,ID,OWYHEE,16073,US PRESIDENT,OTHER,OTHER,50,4742
2020,IDAHO,ID,OWYHEE,16073,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3819,4742
2020,IDAHO,ID,PAYETTE,16075,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2161,11293
2020,IDAHO,ID,PAYETTE,16075,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,166,11293
2020,IDAHO,ID,PAYETTE,16075,US PRESIDENT,OTHER,OTHER,104,11293
2020,IDAHO,ID,PAYETTE,16075,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,8862,11293
2020,IDAHO,ID,POWER,16077,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,865,3074
2020,IDAHO,ID,POWER,16077,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,41,3074
2020,IDAHO,ID,POWER,16077,US PRESIDENT,OTHER,OTHER,52,3074
2020,IDAHO,ID,POWER,16077,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2116,3074
2020,IDAHO,ID,SHOSHONE,16079,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1693,6049
2020,IDAHO,ID,SHOSHONE,16079,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,71,6049
2020,IDAHO,ID,SHOSHONE,16079,US PRESIDENT,OTHER,OTHER,69,6049
2020,IDAHO,ID,SHOSHONE,16079,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,4216,6049
2020,IDAHO,ID,TETON,16081,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3318,6347
2020,IDAHO,ID,TETON,16081,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,109,6347
2020,IDAHO,ID,TETON,16081,US PRESIDENT,OTHER,OTHER,62,6347
2020,IDAHO,ID,TETON,16081,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2858,6347
2020,IDAHO,ID,TWIN FALLS,16083,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,9391,36501
2020,IDAHO,ID,TWIN FALLS,16083,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,770,36501
2020,IDAHO,ID,TWIN FALLS,16083,US PRESIDENT,OTHER,OTHER,443,36501
2020,IDAHO,ID,TWIN FALLS,16083,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,25897,36501
2020,IDAHO,ID,VALLEY,16085,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2976,7063
2020,IDAHO,ID,VALLEY,16085,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,73,7063
2020,IDAHO,ID,VALLEY,16085,US PRESIDENT,OTHER,OTHER,67,7063
2020,IDAHO,ID,VALLEY,16085,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3947,7063
2020,IDAHO,ID,WASHINGTON,16087,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1073,5344
2020,IDAHO,ID,WASHINGTON,16087,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,57,5344
2020,IDAHO,ID,WASHINGTON,16087,US PRESIDENT,OTHER,OTHER,60,5344
2020,IDAHO,ID,WASHINGTON,16087,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,4154,5344
